cell_id, m_id,x r,y r,z r,x r+,y r+,z r+,x NL,y NL,z NL,label,t,dx,dy,dz,speed
3220468,3242839,1646.8,1008.7,1871.6,1718.9,1037.4,1861.6,1717.8,1038.1,1842.0,-1,184,0.382,-0.41795,-5.00508,5.03701
3224365,3246779,1593.4,1070.8,1829.8,1670.1,1101.2,1817.1,1666.7,1104.9,1795.4,-1,184,0.2337,0.39331,-5.08123,5.10178
3224366,3246780,1599.1,1080.0,1822.4,1676.5,1110.7,1810.7,1673.6,1114.2,1788.2,-1,184,0.16104,0.55556,-5.06171,5.09466
3217606,3239855,1581.8,1080.6,1861.7,1655.1,1109.7,1848.0,1652.0,1113.4,1824.7,-1,184,0.0582,1.08296,-4.94145,5.05907
3224364,3246778,1601.1,1069.3,1833.3,1677.4,1099.6,1821.3,1674.3,1103.2,1799.5,-1,184,0.2435,0.4109,-5.07554,5.09796
3217607,3239856,1587.1,1061.6,1857.5,1660.9,1090.9,1843.5,1657.7,1094.0,1821.7,-1,184,0.84576,0.67865,-5.04423,5.15947
3220090,3242466,1591.6,1051.2,1822.3,1669.1,1082.0,1808.6,1666.3,1085.0,1787.8,-1,184,0.36718,1.71554,-4.68746,5.00502
3220078,3242448,1608.6,1046.9,1843.1,1683.8,1076.7,1830.8,1681.5,1079.1,1810.4,-1,184,0.61144,1.74833,-5.01473,5.34584
3220104,3242480,1607.0,1033.4,1857.9,1680.7,1062.6,1844.8,1678.8,1064.4,1824.8,-1,184,0.22034,0.45647,-4.69966,4.72692
3217617,3239854,1579.7,1091.1,1871.4,1652.0,1119.8,1857.8,1648.4,1124.0,1834.5,-1,184,-0.22509,1.13625,-4.6446,4.78687
3218708,3241055,1598.3,1109.3,1878.4,1669.7,1137.6,1867.5,1667.8,1141.6,1844.8,-1,184,0.34223,0.84888,-4.99383,5.07701
3219332,3241726,1556.7,1181.1,1879.5,1628.0,1209.3,1867.2,1623.1,1217.7,1841.1,-1,184,0.09224,1.94295,-4.45762,4.86353
3217482,3239702,1587.5,1070.6,1905.9,1656.1,1097.8,1892.0,1652.4,1100.9,1869.6,-1,184,0.38291,1.02127,-4.36875,4.50284
3217483,3239703,1588.4,1074.5,1905.8,1657.1,1101.7,1892.1,1653.4,1104.9,1869.8,-1,184,0.34374,0.88441,-4.23693,4.34188
3220238,3242616,1568.4,1130.3,1860.3,1641.8,1159.4,1847.2,1638.9,1164.8,1822.9,-1,184,0.16389,1.4054,-4.35547,4.57953
3217612,3239861,1578.9,1103.2,1834.9,1655.0,1133.4,1821.9,1651.6,1137.9,1797.1,-1,184,0.04983,1.20458,-4.68407,4.83674
3220030,3242409,1572.7,1118.2,1855.5,1646.6,1147.5,1842.4,1642.8,1152.5,1817.9,-1,184,-0.25498,1.06495,-5.08496,5.20153
3220231,3242614,1566.9,1144.6,1867.6,1639.5,1173.4,1854.9,1635.5,1180.0,1830.1,-1,184,0.22767,1.32113,-4.55224,4.74553
3217611,3239860,1563.6,1108.6,1848.8,1638.3,1138.2,1834.3,1634.5,1142.9,1809.4,-1,184,-0.14366,1.30718,-4.79976,4.97665
3220247,3242624,1558.4,1153.3,1822.7,1635.8,1184.0,1809.7,1632.0,1190.3,1784.5,-1,184,0.59837,1.25195,-4.67485,4.87643
3221167,3243545,1561.1,1176.6,1861.8,1634.2,1205.6,1849.9,1630.1,1213.1,1823.5,-1,184,0.13817,1.71367,-4.71642,5.02
3219404,3241822,1532.6,1205.2,1877.0,1604.2,1233.6,1863.2,1598.4,1242.7,1836.5,-1,184,0.14799,1.73156,-4.11118,4.46341
3220997,3241823,1548.2,1199.1,1867.9,1620.6,1227.8,1855.5,1615.2,1236.8,1828.3,-1,184,0.29609,2.07363,-4.42747,4.89797
3220999,3241825,1547.9,1199.8,1861.5,1621.1,1228.9,1849.1,1615.7,1237.6,1821.9,-1,184,0.31579,2.02106,-4.41804,4.86862
3221232,3243629,1532.3,1213.2,1893.3,1602.1,1240.9,1879.7,1596.3,1250.7,1852.3,-1,184,0.16895,2.16614,-3.42412,4.05528
3232513,3254632,1846.2,491.9,2487.5,1860.9,497.6,2462.7,1872.0,436.9,2451.6,-1,184,0.07142,-2.48609,-2.0352,3.21368
3232509,3254628,1803.1,451.3,2473.3,1818.6,457.2,2442.5,1822.9,397.1,2429.5,-1,184,0.39465,-2.08469,-1.94008,2.875
3232501,3254620,1792.2,416.2,2399.2,1838.0,434.0,2348.6,1841.4,390.1,2332.7,-1,184,-0.03527,-2.15439,-2.20404,3.08227
3234524,3256381,1329.4,646.4,2039.5,1447.9,692.6,1929.1,1418.0,667.6,1876.2,-1,184,0.37767,0.03575,-1.95739,1.99381
3234165,3256249,1254.1,611.4,2155.2,1358.3,651.6,2015.6,1314.7,616.1,1959.1,-1,184,1.55441,0.21514,-1.93333,2.49003
